Country,Country_Code,Region,Population,Area_sq_mi,Pop_Density,Coastline_Ratio,Net_Migration,Infant_Mortality,GDP_per_Capita,Literacy,Phones_per_1000,Arable_Percent,Other_Percent,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Malta,MLT,"WESTERN EUROPE",400214,316,1266.5000,62.2800,44014.0000,32568.0000,17700,92.8000,505.0000,28.1300,68.7400,NULL,44835.0000,43838.0000,0.0300,0.2300,0.7400
"Marshall Islands",MHL,OCEANIA,60422,11854,5.1000,44168.0000,-6.0400,29.4500,1600,93.7000,91.2000,16.6700,44.4400,2.0000,33.0500,28581.0000,0.3170,0.1490,0.5340
Martinique,MTQ,"LATIN AMER. & CARIB",436131,1100,396.5000,31.8200,-0.0500,44081.0000,14400,97.7000,394.4000,14154.0000,80.1900,2.0000,13.7400,17685.0000,0.0600,0.1100,0.8300
Mauritania,MRT,"SUB-SAHARAN AFRICA",3177388,1030700,3.1000,0.0700,0.0000,70.8900,1800,41.7000,44086.0000,0.4800,99.5100,1.0000,40.9900,42705.0000,0.2500,0.2900,0.4600
Mauritius,MUS,"SUB-SAHARAN AFRICA",1240827,2040,608.3000,25051.0000,-0.9000,43905.0000,11400,85.6000,289.3000,49.2600,47.7800,2.0000,15.4300,31564.0000,0.0590,0.2980,0.6430
Mayotte,MYT,"SUB-SAHARAN AFRICA",201234,374,538.1000,49.5200,28642.0000,62.4000,2600,NULL,49.7000,NULL,NULL,2.0000,40.9500,44019.0000,NULL,NULL,NULL
Mexico,MEX,"LATIN AMER. & CARIB",107449525,1972550,54.5000,0.4700,-4.8700,20.9100,9000,92.2000,181.6000,36495.0000,85.7000,1.0000,20.6900,27120.0000,0.0380,0.2590,0.7020
Micronesia,FSM,OCEANIA,108004,702,153.9000,870.6600,-20.9900,30.2100,2000,89.0000,114.8000,26054.0000,48.5800,2.0000,24.6800,27485.0000,0.2890,0.1520,0.5590
Moldova,MDA,"C.W. OF IND. STATES",4466706,33843,132.0000,0.0000,-0.2600,40.4200,1800,99.1000,208.1000,55.3000,33.9100,NULL,44027.0000,23712.0000,0.2130,0.2330,0.5550
Monaco,MCO,"WESTERN EUROPE",32543,2,16271.5000,205.0000,27576.0000,15827.0000,27000,99.0000,1035.6000,0.0000,100.0000,NULL,43709.0000,33573.0000,0.1700,NULL,NULL
Mongolia,MNG,"ASIA (EX. NEAR EAST)",2832224,1564116,1.8000,0.0000,0.0000,53.7900,1800,97.8000,55.1000,0.7700,99.2300,1.0000,21.5900,34851.0000,0.2060,0.2140,0.5800
Montserrat,MSR,"LATIN AMER. & CARIB",9439,102,92.5000,39.2200,0.0000,12966.0000,3400,97.0000,NULL,20.0000,80.0000,2.0000,17.5900,43837.0000,NULL,NULL,NULL
Morocco,MAR,"NORTHERN AFRICA",33241259,446550,74.4000,0.4100,-0.9800,41.6200,4000,51.7000,40.4000,19.6100,78.2200,NULL,21.9800,21306.0000,0.2170,0.3570,0.4260
Mozambique,MOZ,"SUB-SAHARAN AFRICA",19686505,801590,24.6000,0.3100,0.0000,130.7900,1200,47.8000,43954.0000,43835.0000,94.6000,2.0000,35.1800,21.3500,0.2620,0.3480,0.3900
Namibia,NAM,"SUB-SAHARAN AFRICA",2044147,825418,2.5000,0.1900,0.0000,48.9800,7200,84.0000,62.6000,0.9900,99.0100,1.0000,24.3200,18.8600,0.0970,0.3150,0.5880
Nauru,NRU,OCEANIA,13287,21,632.7000,142.8600,0.0000,34943.0000,5000,NULL,143.0000,0.0000,100.0000,2.0000,24.7600,44018.0000,NULL,NULL,NULL
Nepal,NPL,"ASIA (EX. NEAR EAST)",28287147,147181,192.2000,0.0000,0.0000,66.9800,1400,45.2000,44089.0000,21.6800,77.6800,NULL,30.9800,11567.0000,0.3800,0.2100,0.4100
Netherlands,NLD,"WESTERN EUROPE",16491461,41526,397.1000,44075.0000,33270.0000,43926.0000,28600,99.0000,460.8000,26.7100,72.3200,3.0000,44084.0000,25051.0000,0.0210,0.2440,0.7360
"Netherlands Antilles",ANT,"LATIN AMER. & CARIB",221736,960,231.0000,37.9200,-0.4100,43900.0000,11400,96.7000,365.3000,10.0000,90.0000,2.0000,14.7800,16589.0000,0.0100,0.1500,0.8400
"New Caledonia",NCL,OCEANIA,219246,19060,11.5000,30621.0000,0.0000,26481.0000,15000,91.0000,252.2000,0.3800,99.2900,2.0000,44153.0000,25324.0000,0.1500,0.0880,0.7620
"New Zealand",NZL,OCEANIA,4076140,268680,15.2000,23132.0000,43955.0000,31168.0000,21600,99.0000,441.7000,43987.0000,87.4100,3.0000,13.7600,19541.0000,0.0430,0.2730,0.6840
Nicaragua,NIC,"LATIN AMER. & CARIB",5570129,129494,43.0000,0.7000,-1.2200,44164.0000,2300,67.5000,39.7000,15.9400,82.1200,2.0000,24.5100,16528.0000,0.1650,0.2750,0.5600
Niger,NER,"SUB-SAHARAN AFRICA",12525094,1267000,9.9000,0.0000,-0.6700,121.6900,800,43999.0000,44075.0000,19784.0000,96.4500,1.0000,50.7300,20.9100,0.3900,0.1700,0.4400
Nigeria,NGA,"SUB-SAHARAN AFRICA",131859731,923768,142.7000,0.0900,0.2600,98.8000,900,68.0000,43899.0000,31.2900,65.7500,2.0000,40.4300,16.9400,0.2690,0.4870,0.2440
"N. Mariana Islands",MNP,OCEANIA,82459,477,172.9000,310.6900,22525.0000,44142.0000,12500,97.0000,254.7000,43934.0000,82.6100,2.0000,19.4300,47150.0000,NULL,NULL,NULL
Norway,NOR,"WESTERN EUROPE",4610820,323802,14.2000,28307.0000,27030.0000,44015.0000,37800,100.0000,461.7000,31809.0000,97.1300,3.0000,17107.0000,43930.0000,0.0210,0.4150,0.5640
Oman,OMN,"NEAR EAST",3102229,212460,14.6000,0.9800,0.2800,19.5100,13100,75.8000,85.5000,0.0000,99.7400,1.0000,36.2400,29646.0000,0.0270,0.3900,0.5830
Pakistan,PAK,"ASIA (EX. NEAR EAST)",165803560,803940,206.2000,0.1300,-2.7700,72.4400,2100,45.7000,44074.0000,27.8700,71.2600,1.0000,29.7400,45139.0000,0.2160,0.2510,0.5330
Palau,PLW,OCEANIA,20579,458,44.9000,331.6600,31079.0000,14.8400,9000,92.0000,325.6000,44020.0000,86.9500,2.0000,43908.0000,44049.0000,0.0620,0.1200,0.8180
Panama,PAN,"LATIN AMER. & CARIB",3191319,78200,40.8000,43160.0000,-0.9100,20.4700,6300,92.6000,137.9000,13332.0000,90.6600,2.0000,21.7400,13271.0000,0.0680,0.1560,0.7760
"Papua New Guinea",PNG,OCEANIA,5670544,462840,12.3000,44136.0000,0.0000,51.4500,2200,64.6000,44084.0000,0.4600,98.1000,2.0000,29.3600,45839.0000,0.3530,0.3810,0.2660
Paraguay,PRY,"LATIN AMER. & CARIB",6506464,406750,16.0000,0.0000,-0.0800,25.6300,4700,94.0000,49.2000,43989.0000,92.1700,2.0000,43859.0000,17989.0000,0.2240,0.2070,0.5690
Peru,PER,"LATIN AMER. & CARIB",28302603,1285220,22.0000,0.1900,-1.0500,31.9400,5100,90.9000,79.5000,32540.0000,96.7100,2.0000,20.4800,45078.0000,0.0800,0.2700,0.6500
Philippines,PHL,"ASIA (EX. NEAR EAST)",89468677,300000,298.2000,43842.0000,-1.5000,23.5100,4600,92.6000,38.4000,18.9500,64.2800,2.0000,24.8900,15097.0000,0.1440,0.3260,0.5300
Poland,POL,"EASTERN EUROPE",38536869,312685,123.3000,0.1600,-0.4900,18841.0000,11100,99.8000,306.3000,45.9100,52.9700,3.0000,31291.0000,32752.0000,0.0500,0.3110,0.6400
Portugal,PRT,"WESTERN EUROPE",10605870,92391,114.8000,34335.0000,20880.0000,43956.0000,18000,93.3000,399.2000,21.7500,70.4400,3.0000,26573.0000,43961.0000,0.0530,0.2740,0.6730
"Puerto Rico",PRI,"LATIN AMER. & CARIB",3927188,13790,284.8000,23071.0000,-1.4600,45505.0000,16800,94.1000,283.1000,34759.0000,90.5300,2.0000,28460.0000,23924.0000,0.0100,0.4500,0.5400
Qatar,QAT,"NEAR EAST",885359,11437,77.4000,33695.0000,16.2900,18.6100,21500,82.5000,232.0000,23377.0000,98.0900,1.0000,15.5600,26390.0000,0.0020,0.8010,0.1970
Reunion,REU,"SUB-SAHARAN AFRICA",787584,2517,312.9000,44774.0000,0.0000,28672.0000,5800,88.9000,380.9000,43995.0000,85.2000,2.0000,44092.0000,18019.0000,0.0800,0.1900,0.7300
Romania,ROU,"EASTERN EUROPE",22303552,237500,93.9000,0.0900,-0.1300,26.4300,7000,98.4000,196.9000,40.8200,56.9300,3.0000,44022.0000,28430.0000,0.1010,0.3500,0.5490
Russia,RUS,"C.W. OF IND. STATES",142893540,17075200,8.4000,0.2200,43862.0000,15.3900,8900,99.6000,280.6000,12236.0000,92.5600,NULL,34943.0000,14.6500,0.0540,0.3710,0.5750
Rwanda,RWA,"SUB-SAHARAN AFRICA",8648248,26338,328.4000,0.0000,0.0000,91.2300,1300,70.4000,44014.0000,40.5400,47.3000,3.0000,40.3700,44090.0000,0.4010,0.2290,0.3700
"Saint Helena",SHN,"SUB-SAHARAN AFRICA",7502,413,18.2000,14.5300,0.0000,19.0000,2500,97.0000,293.3000,44086.0000,87.1000,NULL,41609.0000,19511.0000,NULL,NULL,NULL
"Saint Kitts & Nevis",KANN,"LATIN AMER. & CARIB",39129,261,149.9000,51.7200,-7.1100,14.4900,8800,97.0000,638.9000,19.4400,77.7800,2.0000,43879.0000,12267.0000,0.0350,0.2580,0.7070
"Saint Lucia",LCA,"LATIN AMER. & CARIB",168458,616,273.5000,25.6500,-2.6700,13.5300,5400,67.0000,303.3000,20607.0000,70.4900,2.0000,19.6800,44048.0000,0.0700,0.2000,0.7300
"St Pierre & Miquelon",SPM,"NORTHERN AMERICA",7026,242,29.0000,49.5900,-4.8600,19906.0000,6900,99.0000,683.2000,43934.0000,86.9600,NULL,13.5200,30468.0000,NULL,NULL,NULL
"Saint Vincent and the Grenadines",VCT,"LATIN AMER. & CARIB",117848,389,303.0000,21.5900,-7.6400,14.7800,2900,96.0000,190.9000,17.9500,64.1000,2.0000,16.1800,35916.0000,0.1000,0.2600,0.6400
Samoa,WSM,OCEANIA,176908,2944,60.1000,13.6900,-11.7000,27.7100,5600,99.7000,75.2000,43882.0000,54.4200,2.0000,16.4300,22798.0000,0.1140,0.5840,0.3020
"San Marino",SMR,"WESTERN EUROPE",29251,61,479.5000,0.0000,36069.0000,26785.0000,34600,96.0000,704.3000,16.6700,83.3300,NULL,43871.0000,42948.0000,NULL,NULL,NULL
"Sao Tome and Principe",STP,"SUB-SAHARAN AFRICA",193413,1001,193.2000,20.8800,-2.7200,43.1100,1200,79.3000,36.2000,45809.0000,44.7900,2.0000,40.2500,17319.0000,0.1670,0.1480,0.6840
"Saudi Arabia",SAU,"NEAR EAST",27019731,1960582,13.8000,0.1300,-2.7100,13.2400,11800,78.8000,140.6000,24473.0000,98.2400,1.0000,29.3400,21217.0000,0.0330,0.6130,0.3540
Senegal,SEN,"SUB-SAHARAN AFRICA",11987121,196190,61.1000,0.2700,0.2000,55.5100,1600,40.2000,43883.0000,28825.0000,87.0100,2.0000,32.7800,15585.0000,0.1720,0.2090,0.6190
Serbia,SRB,"EASTERN EUROPE",9396411,88361,106.3000,0.0000,-1.3300,32843.0000,2200,93.0000,285.8000,33.3500,63.4500,NULL,NULL,NULL,0.1660,0.2550,0.5790
Seychelles,SYC,"SUB-SAHARAN AFRICA",81541,455,179.2000,107.9100,-5.6900,15.5300,7800,58.0000,262.4000,44593.0000,84.4500,2.0000,43906.0000,47270.0000,0.0320,0.3040,0.6650
"Sierra Leone",SLE,"SUB-SAHARAN AFRICA",6005250,71740,83.7000,0.5600,0.0000,143.6400,500,31.4000,4.0000,35947.0000,92.1300,2.0000,45.7600,43913.0000,0.4900,0.3100,0.2100
Singapore,SGP,"ASIA (EX. NEAR EAST)",4492150,693,6482.2000,27.8500,19664.0000,47150.0000,23700,92.5000,411.4000,23377.0000,98.3600,2.0000,12663.0000,46844.0000,0.0000,0.3390,0.6610
Slovakia,SVK,"EASTERN EUROPE",5439448,48845,111.4000,0.0000,0.3000,15158.0000,13300,NULL,220.1000,30.1600,67.2200,3.0000,24016.0000,16681.0000,0.0350,0.2940,0.6720
Slovenia,SVN,"EASTERN EUROPE",2010347,20273,99.2000,0.2300,44166.0000,16528.0000,19000,99.7000,406.1000,43990.0000,89.9100,NULL,36008.0000,11597.0000,0.0280,0.3690,0.6030
"Solomon Islands",SLB,OCEANIA,552438,28450,19.4000,18.6700,0.0000,21.2900,1700,NULL,43934.0000,0.6400,97.3600,2.0000,43860.0000,33664.0000,0.4200,0.1100,0.4700
Somalia,SOM,"SUB-SAHARAN AFRICA",8863338,637657,13.9000,0.4700,13636.0000,116.7000,500,37.8000,43901.0000,24473.0000,98.2900,1.0000,45.1300,16.6300,0.6500,0.1000,0.2500
"South Africa",ZAF,"SUB-SAHARAN AFRICA",44187637,1219912,36.2000,0.2300,-0.2900,61.8100,10700,86.4000,107.0000,44055.0000,87.1300,1.0000,43879.0000,22.0000,0.0250,0.3030,0.6710
Spain,ESP,"WESTERN EUROPE",40397842,504782,80.0000,0.9800,0.9900,15432.0000,22000,97.9000,453.5000,44038.0000,64.0600,3.0000,43992.0000,26543.0000,0.0400,0.2950,0.6650
"Sri Lanka",LKA,"ASIA (EX. NEAR EAST)",20222240,65610,308.2000,43923.0000,-1.3100,14.3500,3700,92.3000,61.5000,13.8600,70.4400,2.0000,15.5100,19146.0000,0.1780,0.2760,0.5450
Sudan,SDN,"SUB-SAHARAN AFRICA",41236378,2505810,16.5000,0.0300,-0.0200,62.5000,1900,61.1000,43906.0000,30468.0000,92.9900,2.0000,34.5300,35643.0000,0.3870,0.2030,0.4100
Suriname,SUR,"LATIN AMER. & CARIB",439117,163270,2.7000,0.2400,-8.8100,23.5700,4000,93.0000,184.7000,0.3700,99.5700,2.0000,43879.0000,46569.0000,0.1300,0.2200,0.6500
Swaziland,SWZ,"SUB-SAHARAN AFRICA",1136334,17363,65.5000,0.0000,0.0000,69.2700,4900,81.6000,44073.0000,13058.0000,88.9500,2.0000,27.4100,29.7400,0.1190,0.5150,0.3660
Sweden,SWE,"WESTERN EUROPE",9016596,449964,20.0000,0.7200,24473.0000,28157.0000,26800,99.0000,715.0000,19876.0000,93.4500,3.0000,46661.0000,11597.0000,0.0110,0.2820,0.7070
Switzerland,CHE,"WESTERN EUROPE",7523934,41290,182.2000,0.0000,43955.0000,14336.0000,32700,99.0000,680.9000,15615.0000,88.9700,3.0000,26177.0000,18111.0000,0.0150,0.3400,0.6450
Syria,SYR,"NEAR EAST",18881361,185180,102.0000,0.1000,0.0000,29.5300,3300,76.9000,153.8000,25.2200,70.3500,1.0000,27.7600,29677.0000,0.2490,0.2300,0.5190
Taiwan,TWN,"ASIA (EX. NEAR EAST)",23036087,35980,640.3000,12875.0000,0.0000,43927.0000,23400,96.1000,591.0000,24.0000,75.0000,2.0000,20790.0000,17685.0000,0.0180,0.2590,0.7230
Tajikistan,TJK,"C.W. OF IND. STATES",7320815,143100,51.2000,0.0000,-2.8600,110.7600,1000,99.4000,33.5000,22433.0000,92.4700,2.0000,32.6500,45870.0000,0.2340,0.2860,0.4800
Tanzania,TZA,"SUB-SAHARAN AFRICA",37445392,945087,39.6000,0.1500,-2.0600,98.5400,600,78.2000,4.0000,19085.0000,94.4000,NULL,37.7100,16.3900,0.4320,0.1720,0.3960
Thailand,THA,"ASIA (EX. NEAR EAST)",64631595,514000,125.7000,0.6300,0.0000,20.4800,7400,92.6000,108.9000,29.3600,64.1800,2.0000,13.8700,43928.0000,0.0990,0.4410,0.4600
Togo,TGO,"SUB-SAHARAN AFRICA",5548702,56785,97.7000,0.1000,0.0000,66.6100,1500,60.9000,43992.0000,46.1500,51.6400,2.0000,37.0100,30560.0000,0.3950,0.2040,0.4010
Tonga,TON,OCEANIA,114689,748,153.3000,56.0200,0.0000,22981.0000,2200,98.5000,97.7000,23.6100,33.3300,2.0000,25.3700,46874.0000,0.2300,0.2700,0.5000
"Trinidad & Tobago",TTO,"LATIN AMER. & CARIB",1065842,5128,207.9000,43989.0000,-10.8300,24.3100,9500,98.6000,303.5000,14.6200,76.2200,2.0000,44086.0000,21094.0000,0.0070,0.5700,0.4230
Tunisia,TUN,"NORTHERN AFRICA",10175014,163610,62.2000,0.7000,-0.5700,24.7700,6900,74.2000,123.6000,17.8600,68.4000,3.0000,15.5200,41395.0000,0.1320,0.3180,0.5500
Turkey,TUR,"NEAR EAST",70413958,780580,90.2000,0.9200,0.0000,41.0400,6700,86.5000,269.5000,30.9300,65.7600,3.0000,16.6200,35551.0000,0.1170,0.2980,0.5850
Turkmenistan,TKM,"C.W. OF IND. STATES",5042920,488100,10.3000,0.0000,-0.8600,73.0800,5800,98.0000,74.6000,26359.0000,96.1400,1.0000,27.6100,43990.0000,0.2090,0.3800,0.4110
"Turks & Caicos Is",TCA,"LATIN AMER. & CARIB",21152,430,49.2000,90.4700,25143.0000,15.6700,9600,98.0000,269.5000,12086.0000,97.6700,2.0000,21.8400,44287.0000,NULL,NULL,NULL
Tuvalu,TUV,OCEANIA,11810,26,454.2000,92.3100,0.0000,43910.0000,1100,NULL,59.3000,0.0000,100.0000,2.0000,22.1800,44142.0000,0.1660,0.2720,0.5620
Uganda,UGA,"SUB-SAHARAN AFRICA",28195754,236040,119.5000,0.0000,0.0000,67.8300,1400,69.9000,43985.0000,25.8800,63.4700,2.0000,47.3500,45627.0000,0.3110,0.2220,0.4690
Ukraine,UKR,"C.W. OF IND. STATES",46710816,603700,77.4000,0.4600,-0.3900,20.3400,5400,99.7000,259.9000,56.2100,42.1800,3.0000,30164.0000,14.3900,0.1870,0.4520,0.3610
"United Arab Emirates",ARE,"NEAR EAST",2602713,82880,31.4000,21551.0000,43891.0000,14.5100,23200,77.9000,475.3000,0.6000,97.1500,1.0000,18.9600,43925.0000,0.0400,0.5850,0.3750
"United Kingdom",GBR,"WESTERN EUROPE",60609153,244820,247.6000,44048.0000,43497.0000,42491.0000,27700,99.0000,543.5000,23.4600,76.3300,3.0000,26207.0000,41548.0000,0.0050,0.2370,0.7580
"United States",USA,"NORTHERN AMERICA",298444215,9631420,31.0000,0.2100,15036.0000,43957.0000,37800,97.0000,898.0000,19.1300,80.6500,3.0000,14.1400,46235.0000,0.0100,0.2040,0.7870
Uruguay,URY,"LATIN AMER. & CARIB",3431932,176220,19.5000,0.3700,-0.3200,35004.0000,12800,98.0000,291.4000,15888.0000,92.3400,3.0000,13.9100,43960.0000,0.0930,0.3110,0.5960
Uzbekistan,UZB,"C.W. OF IND. STATES",27307134,447400,61.0000,0.0000,-1.7200,71.1000,1700,99.3000,62.9000,30590.0000,88.3400,1.0000,26.3600,30864.0000,0.3420,0.2290,0.4300
Vanuatu,VUT,OCEANIA,208869,12200,17.1000,20.7200,0.0000,55.1600,2900,53.0000,32.6000,16834.0000,90.1600,2.0000,22.7200,30133.0000,0.2600,0.1200,0.6200
Venezuela,RB,"LATIN AMER. & CARIB",25730435,912050,28.2000,0.3100,-0.0400,43883.0000,4800,93.4000,140.1000,34731.0000,96.1300,2.0000,18.7100,33695.0000,0.0400,0.4190,0.5410
Vietnam,VNM,"ASIA (EX. NEAR EAST)",84402966,329560,256.1000,43952.0000,-0.4500,25.9500,2500,90.3000,187.7000,19.9700,74.0800,2.0000,16.8600,44713.0000,0.2090,0.4100,0.3810
"Virgin Islands",VIR,"LATIN AMER. & CARIB",108605,1910,56.9000,30926.0000,-8.9400,43898.0000,17200,NULL,652.8000,28065.0000,85.3000,2.0000,13.9600,15858.0000,0.0100,0.1900,0.8000
"Wallis and Futuna",WLF,OCEANIA,16025,274,58.5000,47.0800,NULL,NULL,3700,50.0000,118.6000,5.0000,70.0000,2.0000,NULL,NULL,NULL,NULL,NULL
"Western Sahara",ESH,"NORTHERN AFRICA",273008,266000,1.0000,0.4200,NULL,NULL,NULL,NULL,NULL,0.0200,99.9800,1.0000,NULL,NULL,NULL,NULL,0.4000
Yemen,YEM,"NEAR EAST",21456188,527970,40.6000,0.3600,0.0000,61.5000,800,50.2000,37.2000,28522.0000,96.9800,1.0000,42.8900,43898.0000,0.1350,0.4720,0.3930
Zambia,ZMB,"SUB-SAHARAN AFRICA",11502010,752614,15.3000,0.0000,0.0000,88.2900,800,80.6000,43869.0000,44050.0000,92.9000,2.0000,41.0000,19.9300,0.2200,0.2900,0.4890
Zimbabwe,ZWE,"SUB-SAHARAN AFRICA",12236805,390580,31.3000,0.0000,0.0000,67.6900,1900,90.7000,44069.0000,11902.0000,91.3400,2.0000,43858.0000,21.8400,0.1790,0.2430,0.5790
